 
"Scientific Name","Common Name","French Name","Order","Family","Subfamily","E","M","I","H","A","N",
"Nothocercus bonapartei","Highland Tinamou","Tinamou de Bonaparte","Tinamiformes","Tinamidae","","","","","","","",
"Tinamus major","Great Tinamou","Grand Tinamou","Tinamiformes","Tinamidae","","","","","","","",
"Crypturellus soui","Little Tinamou","Tinamou soui","Tinamiformes","Tinamidae","","","","","","","",
"Crypturellus cinnamomeus","Thicket Tinamou","Tinamou cannelle","Tinamiformes","Tinamidae","","","","","","","",
"Crypturellus boucardi","Slaty-breasted Tinamou","Tinamou de Boucard","Tinamiformes","Tinamidae","","","","","","","",
"Crypturellus kerriae","Choco Tinamou","Tinamou de Kerr","Tinamiformes","Tinamidae","","","","","","","",
"Dendrocygna viduata","White-faced Whistling-Duck","Dendrocygne veuf","Anseriformes","Anatidae","Dendrocygninae","","","","","","",
"Dendrocygna autumnalis","Black-bellied Whistling-Duck","Dendrocygne à ventre noir","Anseriformes","Anatidae","Dendrocygninae","","","","","","",
"Dendrocygna arborea","West Indian Whistling-Duck","Dendrocygne des Antilles","Anseriformes","Anatidae","Dendrocygninae","","","","","","",
"Dendrocygna bicolor","Fulvous Whistling-Duck","Dendrocygne fauve","Anseriformes","Anatidae","Dendrocygninae","","","","","","",
"Anser fabalis","Taiga Bean-Goose","Oie des moissons","Anseriformes","Anatidae","Anserinae","","","","","A","",
"Anser serrirostris","Tundra Bean-Goose","Oie de la toundra","Anseriformes","Anatidae","Anserinae","","","","","A","",
"Anser brachyrhynchus","Pink-footed Goose","Oie à bec court","Anseriformes","Anatidae","Anserinae","","","","","A","",
"Anser albifrons","Greater White-fronted Goose","Oie rieuse","Anseriformes","Anatidae","Anserinae","","","","","","",
"Anser erythropus","Lesser White-fronted Goose","Oie naine","Anseriformes","Anatidae","Anserinae","","","","","A","",
"Anser anser","Graylag Goose","Oie cendrée","Anseriformes","Anatidae","Anserinae","","","","","A","",
"Chen canagica","Emperor Goose","Oie empereur","Anseriformes","Anatidae","Anserinae","","","","","","",
"Chen caerulescens","Snow Goose","Oie des neiges","Anseriformes","Anatidae","Anserinae","","","","","","",
"Chen rossii","Ross's Goose","Oie de Ross","Anseriformes","Anatidae","Anserinae","","","","","","",
"Branta bernicla","Brant","Bernache cravant","Anseriformes","Anatidae","Anserinae","","","","","","",
"Branta leucopsis","Barnacle Goose","Bernache nonnette","Anseriformes","Anatidae","Anserinae","","","","","A","",
"Branta hutchinsii","Cackling Goose","Bernache de Hutchins","Anseriformes","Anatidae","Anserinae","","","","","","",
"Branta canadensis","Canada Goose","Bernache du Canada","Anseriformes","Anatidae","Anserinae","","","","","","",
"Branta sandvicensis","Hawaiian Goose","Bernache néné","Anseriformes","Anatidae","Anserinae","","","","H","","",
"Cygnus olor","Mute Swan","Cygne tuberculé","Anseriformes","Anatidae","Anserinae","","","I","","","",
"Cygnus buccinator","Trumpeter Swan","Cygne trompette","Anseriformes","Anatidae","Anserinae","","","","","","",
"Cygnus columbianus","Tundra Swan","Cygne siffleur","Anseriformes","Anatidae","Anserinae","","","","","","",
"Cygnus cygnus","Whooper Swan","Cygne chanteur","Anseriformes","Anatidae","Anserinae","","","","","","",
"Sarkidiornis melanotos","Comb Duck","Canard à bosse","Anseriformes","Anatidae","Tadorninae","","","","","","",
"Neochen jubata","Orinoco Goose","Ouette de l'Orénoque","Anseriformes","Anatidae","Tadorninae","","","","","A","",
"Cairina moschata","Muscovy Duck","Canard musqué","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aix sponsa","Wood Duck","Canard branchu","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas strepera","Gadwall","Canard chipeau","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas falcata","Falcated Duck","Canard à faucilles","Anseriformes","Anatidae","Anatinae","","","","","A","",
"Anas penelope","Eurasian Wigeon","Canard siffleur","Anseriformes","Anatidae","Anatinae","","","","","","N",
"Anas americana","American Wigeon","Canard d'Amérique","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas rubripes","American Black Duck","Canard noir","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas platyrhynchos","Mallard","Canard colvert","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas fulvigula","Mottled Duck","Canard brun","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas wyvilliana","Hawaiian Duck","Canard des Hawaï","Anseriformes","Anatidae","Anatinae","","","","H","","",
"Anas laysanensis","Laysan Duck","Canard de Laysan","Anseriformes","Anatidae","Anatinae","","","","H","","",
"Anas zonorhyncha","Eastern Spot-billed Duck","Canard de Chine","Anseriformes","Anatidae","Anatinae","","","","","A","",
"Anas discors","Blue-winged Teal","Sarcelle à ailes bleues","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas cyanoptera","Cinnamon Teal","Sarcelle cannelle","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas clypeata","Northern Shoveler","Canard souchet","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas bahamensis","White-cheeked Pintail","Canard des Bahamas","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas acuta","Northern Pintail","Canard pilet","Anseriformes","Anatidae","Anatinae","","","","","","",
"Anas querquedula","Garganey","Sarcelle d'été","Anseriformes","Anatidae","Anatinae","","","","","","N",
"Anas formosa","Baikal Teal","Sarcelle élégante","Anseriformes","Anatidae","Anatinae","","","","","A","",
"Anas crecca","Green-winged Teal","Sarcelle d'hiver","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aythya valisineria","Canvasback","Fuligule à dos blanc","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aythya americana","Redhead","Fuligule à tête rouge","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aythya ferina","Common Pochard","Fuligule milouin","Anseriformes","Anatidae","Anatinae","","","","","A","",
"Aythya collaris","Ring-necked Duck","Fuligule à collier","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aythya fuligula","Tufted Duck","Fuligule morillon","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aythya marila","Greater Scaup","Fuligule milouinan","Anseriformes","Anatidae","Anatinae","","","","","","",
"Aythya affinis","Lesser Scaup","Petit Fuligule","Anseriformes","Anatidae","Anatinae","","","","","","",
"Polysticta stelleri","Steller's Eider","Eider de Steller","Anseriformes","Anatidae","Anatinae","","","","","","",
"Somateria fischeri","Spectacled Eider","Eider à lunettes","Anseriformes","Anatidae","Anatinae","","","","","","",
"Somateria spectabilis","King Eider","Eider à tête grise","Anseriformes","Anatidae","Anatinae","","","","","","",
"Somateria mollissima","Common Eider","Eider à duvet","Anseriformes","Anatidae","Anatinae","","","","","","",
"Histrionicus histrionicus","Harlequin Duck","Arlequin plongeur","Anseriformes","Anatidae","Anatinae","","","","","","",
"Camptorhynchus labradorius","Labrador Duck","Eider du Labrador","Anseriformes","Anatidae","Anatinae","E","","","","","",
"Melanitta perspicillata","Surf Scoter","Macreuse à front blanc","Anseriformes","Anatidae","Anatinae","","","","","","",
"Melanitta fusca","White-winged Scoter","Macreuse brune","Anseriformes","Anatidae","Anatinae","","","","","","",
"Melanitta americana","Black Scoter","Macreuse à bec jaune","Anseriformes","Anatidae","Anatinae","","","","","","",
"Clangula hyemalis","Long-tailed Duck","Harelde kakawi","Anseriformes","Anatidae","Anatinae","","","","","","",
"Bucephala albeola","Bufflehead","Petit Garrot","Anseriformes","Anatidae","Anatinae","","","","","","",
"Bucephala clangula","Common Goldeneye","Garrot à oeil d'or","Anseriformes","Anatidae","Anatinae","","","","","","",
"Bucephala islandica","Barrow's Goldeneye","Garrot d'Islande","Anseriformes","Anatidae","Anatinae","","","","","","",
