common_name,order,family,genus,species,audio_file_path
American Crow,Passeriformes,Corvidae,Corvus,Corvus brachyrhynchos,bird_songs_of_the_rockies/003 American Crow.m4a
American Goldfinch,Passeriformes,Fringillidae,Spinus,Spinus tristis,bird_songs_of_the_rockies/005 American Goldfinch.m4a
American Kestrel,Falconiformes,Falconidae,Falco,Falco sparverius,bird_songs_of_the_rockies/006 American Kestrel.m4a
American Robin,Passeriformes,Turdidae,Turdus,Turdus migratorius,bird_songs_of_the_rockies/009 American Robin.m4a
Ash-throated Flycatcher,Passeriformes,Tyrannidae,Myiarchus,Myiarchus cinerascens,bird_songs_of_the_rockies/073 Flycatcher - Ash-throated.m4a
Black-billed Magpie,Passeriformes,Corvidae,Pica,Pica hudsonia,bird_songs_of_the_rockies/020 Black-Billed Magpie.m4a
Black-capped Chickadee,Passeriformes,Paridae,Poecile,Poecile atricapillus,bird_songs_of_the_rockies/050 Chickadee - Black-Capped.m4a
Black-chinned Hummingbird,Apodiformes,Trochilidae,Archilochus,Archilochus alexandri,bird_songs_of_the_rockies/104 Hummingbird - Black-chinned.m4a
Bewick's Wren,Passeriformes,Troglodytidae,Thryomanes,Thryomanes bewickii,bird_songs_of_the_rockies/251 Wren - Bewick's.m4a
Blue-gray Gnatcatcher,Passeriformes,Polioptilidae,Polioptila,Polioptila caerulea,bird_songs_of_the_rockies/028 Blue-gray Gnatcatcher.m4a
Brown-headed Cowbird,Passeriformes,Icteridae,Molothrus,Molothrus ater,bird_songs_of_the_rockies/037 Brown-headed Cowbird.m4a
Black-headed Grosbeak,Passeriformes,Cardinalidae,Pheucticus,Pheucticus melanocephalus,bird_songs_of_the_rockies/022 Black-headed Grosbeak.m4a
Blue Grosbeak,Passeriformes,Cardinalidae,Passerina,Passerina caerulea,bird_songs_of_the_rockies/029 Blue Grosbeak.m4a
Brewer's Blackbird,Passeriformes,Icteridae,Euphagus,Euphagus cyanocephalus,bird_songs_of_the_rockies/034 Brewer's Blackbird.m4a
Brown Creeper,Passeriformes,Certhiidae,Certhia,Certhia americana,bird_songs_of_the_rockies/038 Brown Creeper.m4a
Brewer's Sparrow,Passeriformes,Passerellidae,Spizella,Spizella breweri,bird_songs_of_the_rockies/035 Brewer's Sparrow.m4a
Broad-tailed Hummingbird,Apodiformes,Trochilidae,Selasphorus,Selasphorus platycercus,bird_songs_of_the_rockies/105 Hummingbird - Broad-tailed.m4a
Band-tailed Pigeon,Columbiformes,Columbidae,Patagioenas,Patagioenas fasciata,bird_songs_of_the_rockies/015 Band-tailed Pigeon.m4a
Black-throated Sparrow,Passeriformes,Passerellidae,Amphispiza,Amphispiza bilineata,bird_songs_of_the_rockies/025 Black-throated Sparrow.m4a
Black-throated Gray Warbler,Passeriformes,Parulidae,Setophaga,Setophaga nigrescens,bird_songs_of_the_rockies/024 Black-throated Gray Warbler.m4a
Burrowing Owl,Strigiformes,Strigidae,Athene,Athene cunicularia,bird_songs_of_the_rockies/042 Burrowing Owl.m4a
Bushtit,Passeriformes,Aegithalidae,Psaltriparus,Psaltriparus minimus,bird_songs_of_the_rockies/043 Bushtit.m4a
Cassin's Finch,Passeriformes,Fringillidae,Haemorhous,Haemorhous cassinii,bird_songs_of_the_rockies/046 Cassin's Finch.m4a
Cassin's Kingbird,Passeriformes,Tyrannidae,Tyrannus,Tyrannus vociferans,bird_songs_of_the_rockies/116 Kingbird - Cassin's.m4a
Canyon Wren,Passeriformes,Troglodytidae,Catherpes,Catherpes mexicanus,bird_songs_of_the_rockies/252 Wren - Canyon.m4a
Chipping Sparrow,Passeriformes,Passerellidae,Spizella,Spizella passerina,bird_songs_of_the_rockies/052 Chipping Sparrow.m4a
Cliff Swallow,Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,bird_songs_of_the_rockies/207 Swallow - Cliff.m4a
Cordilleran Flycatcher,Passeriformes,Tyrannidae,Empidonax,Empidonax occidentalis,bird_songs_of_the_rockies/074 Flycatcher - Cordilleran.m4a
Common Grackle,Passeriformes,Icteridae,Quiscalus,Quiscalus quiscula,bird_songs_of_the_rockies/059 Common Grackle.m4a
